2026-01-29 22:03:33.286 [main] INFO  mate.academy.Main - Application started
2026-01-29 22:03:33.287 [main] INFO  mate.academy.Main - Attempting to authenticate user: bob
2026-01-29 22:03:33.289 [main] INFO  mate.academy.service.AuthenticationServiceImpl - Method login was called. Params: login=bob
2026-01-29 22:03:33.289 [main] INFO  mate.academy.service.AuthenticationServiceImpl - Looking up user by login: bob
2026-01-29 22:03:33.289 [main] INFO  mate.academy.service.AuthenticationServiceImpl - User found: userId=2, login=bob
2026-01-29 22:03:33.289 [main] INFO  mate.academy.service.AuthenticationServiceImpl - User bob successfully authenticated
2026-01-29 22:03:33.289 [main] INFO  mate.academy.Main - User authenticated successfully: bob
2026-01-29 22:03:33.289 [main] INFO  mate.academy.Main - Proceeding to order completion for userId=2
2026-01-29 22:03:33.290 [main] INFO  mate.academy.service.OrderServiceImpl - Method completeOrder was called. Params: userId=2
2026-01-29 22:03:33.290 [main] INFO  mate.academy.service.OrderServiceImpl - Fetching products from shopping cart for userId=2
2026-01-29 22:03:33.290 [main] INFO  mate.academy.service.OrderServiceImpl - Successfully fetched 3 products from DB for userId=2
2026-01-29 22:03:33.291 [main] INFO  mate.academy.service.OrderServiceImpl - Products details: [mate.academy.model.Product@75d4a5c2, mate.academy.model.Product@557caf28, mate.academy.model.Product@408d971b]
2026-01-29 22:03:33.291 [main] INFO  mate.academy.service.OrderServiceImpl - Creating order for userId=2 with 3 products
2026-01-29 22:03:33.291 [main] INFO  mate.academy.service.OrderServiceImpl - Order completed successfully. OrderId=1, userId=2, productsCount=3
2026-01-29 22:03:33.291 [main] INFO  mate.academy.Main - Application finished successfully
